visits,interlibrary_relation_code,fscs_definition_code,overdue_policy,beac_code,locale_code,population_lsa,county_population,print_volumes,ebook_volumes,num_lib_branches,num_bookmobiles
1247384,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,City,395211,412600,324207,32841,9,1
2463,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,7629,7341,15710,0,0,0
5299,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,6120,14888,9998,877,0,0
8683,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,8915,22337,22234,56462,0,0
5324,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,5062,7738,14724,47771,0,0
3043,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,748,53467,13575,0,0,0
30000,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,2182,411640,22771,0,0,0
41125,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Town,37925,53467,42219,917617,0,0
32584,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,44612,59816,34253,8585,0,0
34693,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,7818,22337,17076,56286,0,0
6875,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,6268,14888,12753,49265,0,0
550,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,3293,7738,15777,0,0,0
2045,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,19097,411640,72500,0,1,0
31100,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,15147,15022,35387,858459,1,0
8571,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,11328,11174,39514,0,0,0
708279,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,City,373328,411640,451035,852365,9,1
315171,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,City,227434,224980,482031,1424417,9,1
347,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,2155,9717,13316,0,0,0
3952,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,5143,53467,13666,0,0,0
4580,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,1040,96814,25895,23,0,0
2856,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,737,96814,13661,0,0,0
